init,tally,print
0.0929,39.0876,2.665
0.1007,40.2549,2.4534
0.1018,39.2455,2.5838
0.0912,39.0448,2.45
0.1147,39.1734,2.5828
0.0875,40.8221,2.5827
0.0969,39.1382,2.6386
0.0889,39.0792,2.3231
0.0861,39.1399,2.4092
0.1426,40.2527,2.5128
0.1188,39.3679,2.7283
0.0987,39.0154,2.6898
0.1025,39.1024,2.6941
0.0884,41.5507,3.0857
0.0941,39.3617,2.6334
0.0884,39.049,2.6865
0.0876,39.098,2.6175
0.1405,41.1966,2.6782
0.094,39.0976,2.8075
0.092,39.0426,2.7105
0.0894,39.1848,2.6164
0.091,40.6881,2.6502
0.0891,39.0885,2.711
0.0959,39.1042,2.8655
0.1019,40.2645,2.4014
0.0829,39.4062,2.6334
0.091,39.0982,2.606
0.0865,39.0717,2.5907
0.0926,39.8573,2.2939
0.0858,39.0847,2.6906
0.0978,39.1914,2.6939
0.0871,39.5067,2.639
0.0938,40.4963,2.5581
0.0904,39.464,2.6595
0.0891,39.0696,2.8372
0.0911,42.3908,2.8605
0.0926,39.9738,2.6218
0.1006,39.1621,2.5512
0.0925,39.2126,2.6814
0.0948,39.2511,2.6877
0.092,40.1382,2.8161
0.1005,40.7227,2.9397
0.0874,39.072,2.479
0.0842,39.0799,2.3967
0.0917,39.8072,2.4251
0.0865,39.3101,2.8631
0.0932,41.9908,2.6183
0.0892,39.0065,2.4931
0.0931,40.0904,2.6598
0.0918,39.1015,2.4666
0.0893,39.6628,2.7722
0.0926,40.054,2.4142
0.0845,39.1148,2.65
0.0888,41.9375,3.0202
0.1273,46.7305,3.1753
0.1067,39.9451,2.3558
0.0973,39.0909,2.6101
0.0922,39.0526,2.5205
0.0876,39.1156,2.6315
0.0972,41.4122,2.6021
0.0947,41.6799,2.6179
0.0885,39.0682,2.6142
0.1237,39.1205,3.5505
0.1315,44.0142,2.6679
0.1042,39.1059,2.695
0.1023,39.0171,2.7627
0.0998,39.2455,2.531
0.1009,40.0892,2.5645
0.0867,40.4105,2.8399
0.1216,40.255,2.5306
0.0937,39.5921,2.2393
0.0873,40.1853,2.4938
0.0949,39.2903,2.6801
0.0994,39.1311,2.5893
0.0908,39.7536,2.6494
0.0896,40.0525,2.6634
0.0902,39.2776,3.0013
0.1561,41.7701,2.71
0.1145,40.1409,2.4313
0.0863,39.3416,2.4464
0.1074,39.0055,2.5308
0.1141,39.231,2.5582
0.0927,39.8452,2.6227
0.1079,39.2637,3.0125
0.1097,39.2473,2.8337
0.1107,42.7875,2.72
0.0866,40.5794,2.5881
0.0962,41.3893,2.6846
0.0914,39.3242,2.9944
0.0965,39.2474,2.9527
0.1086,40.1929,2.8539
0.0997,39.2178,3.0285
0.0806,39.2468,2.6836
0.0935,39.1959,2.7554
0.0866,39.8021,2.5823
0.0995,39.6528,2.8808
0.1255,39.223,2.8303
0.1289,42.7151,3.0097
0.093,39.933,2.8344
0.0884,39.2029,2.8273
0.0896,39.2689,2.7215
0.0882,39.6745,2.9068
0.0869,39.6467,3.2499
0.0907,39.2089,2.4873
0.0861,39.2951,2.9662
0.0954,40.0442,2.3558
0.0898,39.8681,2.7742
0.094,39.182,2.9435
0.0959,39.3878,2.7168
0.1254,40.0131,2.536
0.0871,39.2163,2.8643
0.1889,42.9527,2.9559
0.1156,39.5463,2.4856
0.0884,40.1064,2.5308
0.0901,41.7442,2.5841
0.0844,39.5927,2.7426
0.0941,39.2542,2.6877
0.0954,40.3214,2.7716
0.1183,39.2525,2.9899
0.0914,39.289,2.7481
0.0879,42.4488,2.7557
0.0955,40.0253,2.9719
0.0892,39.2848,2.6399
0.0916,41.866,2.6356
0.0876,39.1682,2.6806
0.0889,39.8031,2.8364
0.089,39.2682,2.2846
0.0847,39.4986,2.6351
0.0934,40.322,2.1883
0.0853,39.2209,2.8532
0.0946,39.4547,2.7596
0.0902,39.2772,2.7087
0.0993,43.6195,2.6367
0.0892,40.4731,2.9225
0.0897,39.289,2.5908
0.0895,39.2654,2.9387
0.0998,40.1329,2.9044
0.0905,39.2148,2.9627
0.098,39.5603,2.7672
0.0879,39.3016,2.9629
0.0842,43.2935,2.7191
0.0992,39.2116,2.1516
0.1,39.2484,2.7671
0.0903,41.7957,3.1077
0.0927,40.4939,2.6836
0.0848,39.1735,2.8237
0.0953,39.208,2.8842
0.0981,39.3524,2.7024
0.0911,40.3007,2.7762
0.0868,39.3783,2.9449
0.0937,39.3217,2.5988
0.1077,42.4612,2.719
0.1298,39.616,2.8588
0.0886,39.635,2.8315
0.0932,39.1918,3.1066
0.0983,40.5605,2.1551
0.0864,42.0218,3.0961
0.14,42.2124,2.8757
0.0873,39.2019,2.5119
0.0846,40.1442,2.8476
0.0858,39.2789,3.3744
0.1252,40.884,2.6809
0.0893,39.3054,2.8247
0.0831,40.2567,2.8828
0.0971,39.1482,2.5647
0.0871,39.1964,2.6703
0.0884,41.8532,2.991
0.0943,41.4645,2.6056
0.0875,39.183,2.7733
0.0855,39.2556,2.5482
0.0852,39.1803,2.5725
0.0891,40.1162,3.0785
0.1025,39.1473,2.4752
0.0897,39.4603,2.2773
0.0855,39.6197,2.7893
0.0893,39.7883,2.7693
0.0886,40.2322,2.8411
0.0961,39.2656,2.3508
0.0865,39.1266,3.002
0.0969,40.2664,2.5499
0.0852,39.2955,2.8794
0.1345,41.0047,3.5857
0.1897,42.8235,2.5615
0.0898,39.2005,2.2814
0.0925,39.2802,2.7821
0.0998,39.1838,2.8273
0.093,39.9306,2.6534
0.0825,41.7464,2.6897
0.0906,41.9841,3.0529
0.106,39.2465,2.3316
0.094,40.124,2.9557
0.0917,39.6569,2.6558
0.1148,39.2009,2.706
0.1012,39.5131,2.6667
0.108,40.2909,2.5951
0.0861,39.158,3.1881
0.0895,40.7914,2.5995
0.0858,39.2644,2.1295
0.0873,39.8698,2.3657
0.0905,41.9489,2.833
0.0941,41.602,3.1681
0.0914,39.1941,2.7499
0.0924,40.0276,2.8568
0.0901,39.301,2.6519
0.0879,39.2271,2.6472
0.0876,40.7868,2.3488
0.084,40.1036,2.78
0.1404,42.8229,2.7374
0.1046,39.5611,2.7261
0.0978,40.2588,2.6488
0.1225,39.6037,2.5952
0.1054,39.2525,2.3783
0.097,39.5513,2.6762
0.1156,40.326,2.5008
0.0841,39.2203,2.7719
0.1063,39.2288,3.1103
0.1075,39.7093,3.0348
0.0931,40.099,2.3976
0.1138,39.4733,2.7911
0.1008,40.2099,2.9117
0.0818,39.3211,2.7992
0.1468,46.9461,2.9433
0.1079,39.2081,2.5878
0.1066,39.2422,2.4739
0.1351,39.1696,2.5113
0.1099,40.274,2.7185
0.0922,39.2053,2.6079
0.0714,39.6855,2.8065
0.0954,39.683,2.5873
0.0706,40.2027,2.924
0.0751,39.2343,2.8721
0.0845,39.4385,2.6284
0.1081,41.0315,2.2986
0.0727,39.4676,2.8791
0.0723,40.216,2.5075
0.0719,39.4022,2.5894
0.0725,40.2846,2.4561
0.0667,39.0811,2.462
0.0794,39.5939,2.671
0.0736,39.2167,2.6447
0.072,44.0941,2.9711
0.0719,39.6355,2.5198
0.0854,39.4679,2.5737
0.0702,39.2425,2.8258
0.0874,43.9271,2.826
0.0733,39.5889,2.0472
0.0579,39.1366,2.8632
0.0731,39.3501,2.6564
0.0695,40.1597,2.6207
0.0763,39.4553,2.516
0.0711,39.164,3.1292
0.0799,39.2344,2.8859
0.1326,42.7703,2.9423
0.0845,39.6083,2.8062
0.0762,39.1992,2.8498
0.0723,40.6965,2.1574
0.0851,39.1428,2.547
0.0747,39.1634,2.6689
0.0715,39.1598,2.8158
0.0732,40.1639,2.686
0.07,39.1989,2.61
0.0698,39.6339,2.9374
0.0755,39.7208,2.754
0.0739,40.072,2.4403
0.0716,39.4343,2.8839
0.0738,39.1948,2.7384
0.0674,39.2078,2.4709
0.0735,40.5274,2.9611
0.0726,39.2624,2.8426
0.0738,39.6152,2.7979
0.072,39.203,2.5728
0.0748,40.0448,2.5989
0.0717,39.8479,2.3801
0.0622,39.4423,2.841
0.0698,39.4926,2.7793
0.0734,39.7645,2.7717
0.0717,39.5025,9.7206
0.1054,44.4166,2.6011
0.0737,39.2347,2.7543
0.0919,39.6671,2.7436
0.0804,39.2008,2.6463
0.075,39.2709,2.6623
0.071,40.4005,2.3409
0.0729,39.3687,3.028
0.0867,39.6597,2.5199
0.0728,39.4395,2.4641
0.1452,40.2095,2.9007
0.1411,40.0317,2.3972
0.0758,39.4732,2.7458
0.0743,39.1894,2.5928
0.0747,40.3473,2.5653
0.0831,39.5442,2.3152
0.0736,39.2099,3.0618
0.0798,39.1928,2.8687
0.0744,39.9887,2.5498
0.0738,39.6252,2.5136
0.07,39.4696,2.6743
0.0712,39.1979,3.0738
0.1035,42.4612,2.6517
0.0701,39.1883,2.8736
0.0722,39.4912,2.7277
0.0718,39.2302,2.9185
0.1148,42.3097,2.6151
0.0706,39.3968,2.8747
0.0732,39.191,2.6887
0.0767,39.807,2.9441
0.073,39.5045,2.6948
0.0725,39.5638,2.7408
0.0946,39.1834,3.1927
0.0996,40.3661,2.2891
0.0719,39.2306,2.4699
0.0737,39.2057,2.6227
0.0746,39.3157,2.6905
0.0765,40.2121,2.4473
0.0704,39.2416,2.8706
0.0737,39.1425,2.3314
0.1029,39.1781,2.7224
0.0763,40.3209,2.7173
0.0735,39.2292,2.5616
0.0799,39.1726,2.6049
0.066,39.2348,2.797
0.0761,40.2391,2.6516
10.4433,42.1914,2.551
0.0742,39.2771,2.7957
0.0848,39.2521,2.6932
0.0699,40.023,3.5676
0.0891,39.4509,2.8419
0.0877,39.3035,2.8811
0.0756,39.3338,2.7755
0.0756,40.3939,2.9671
0.1031,39.2513,2.8663
0.0723,39.4219,2.5325
0.0718,39.2677,2.5391
0.0683,40.238,2.411
0.0753,39.2245,2.7538
0.0732,39.2129,2.7485
0.0963,40.1857,2.4565
0.0726,39.0287,2.7919
0.0712,39.2032,2.8076
0.0723,39.2292,2.7181
0.069,40.1145,2.9872
0.0796,39.5146,2.5453
0.0715,41.1016,2.8041
0.0725,40.2463,2.8191
0.0719,39.7779,2.9807
0.0765,39.2359,2.8668
0.0725,39.3205,2.9033
0.1018,43.366,2.899
0.07,40.3639,2.5831
0.0827,39.2055,3.0182
0.0741,39.1913,3.0204
0.0718,39.4066,2.7818
0.0788,40.2303,2.4142
0.0901,47.5907,2.9984
0.0953,39.3228,2.8448
0.0743,39.1638,2.6729
0.0641,40.2871,2.8366
0.0794,39.2095,2.7311
0.0756,39.2454,2.3369
0.0628,39.8384,2.2129
0.062,39.2297,2.8696
0.0663,39.3922,2.7818
0.0715,39.2122,2.778
0.0666,40.2931,2.0755
0.066,39.5863,2.6435
0.0668,39.2444,2.6819
0.0677,39.3067,2.5823
0.0725,44.1446,2.5913
0.0716,39.3611,2.5351
0.0739,39.2172,2.7088
0.0699,39.225,2.8472
0.0685,39.8732,2.8958
0.1019,41.2127,2.824
0.067,39.3841,3.039
0.0672,41.8806,3.0329
0.0676,40.5403,2.687
0.0753,39.2169,2.4777
0.0675,39.4385,2.8692
0.0675,39.7197,2.8933
0.0685,40.2789,2.5791
0.068,39.0558,2.2935
0.0636,39.352,2.6112
0.0652,39.2436,2.8515
0.0653,40.2419,2.6651
0.0703,39.739,2.6367
0.0656,39.1484,2.8626
0.0661,39.985,2.1773
0.065,39.2131,2.5481
0.0685,39.6294,2.6686
0.0671,39.243,2.2991
