init,tally,print
0.0924,38.2678,2.9302
0.1003,42.6562,3.1942
0.0955,38.0809,2.7933
0.0899,38.0958,3.06
0.0858,38.1181,2.5607
0.0906,39.2533,3.5698
0.0899,37.9121,2.8701
0.0866,38.0249,2.9369
0.0943,38.03,3.2625
0.1181,39.252,3.2525
0.1305,37.9705,3.4193
0.0948,37.8351,3.4232
0.0903,37.8982,3.9315
0.0906,39.073,3.1434
0.0876,37.891,3.0145
0.0905,37.8805,3.1057
0.0892,37.8966,3.5352
0.0886,39.2876,3.229
0.092,37.8794,2.8456
0.0852,37.8946,3.1585
0.0939,38.2259,3.2005
0.0948,38.9663,3.2967
0.0902,37.9172,3.2453
0.0905,39.5127,3.4676
0.1283,39.5912,3.0881
0.0913,38.6333,3.3134
0.0882,37.8655,3.2641
0.0868,37.8798,2.4991
0.0841,39.2039,2.7961
0.0822,37.8536,2.888
0.0827,38.0067,3.1166
0.0832,37.9216,4.4044
0.1217,38.9909,2.9179
0.0833,38.0936,3.5598
0.096,38.0118,3.339
0.0859,37.996,3.4207
0.0916,38.8259,3.2047
0.0866,38.3532,2.6246
0.0838,38.0344,3.6828
0.0889,38.155,2.7993
0.0916,38.7483,3.0936
0.0864,38.5211,3.2496
0.0952,38.0071,3.0398
0.0861,38.3819,3.2763
0.0903,39.814,4.1571
0.1058,38.052,2.8211
0.087,42.6019,3.2125
0.089,38.0599,3.1614
0.0871,38.8536,3.0005
0.0879,37.9463,4.1289
0.0855,38.1933,3.1988
0.0973,39.2145,2.4018
0.0794,38.1215,3.1727
0.0881,37.8504,3.0977
0.0955,38.121,2.5653
0.0862,38.7753,2.6766
0.0857,38.0001,2.8503
0.0862,38.1778,2.7719
0.0851,38.0529,2.979
0.0876,38.8957,3.0402
0.0829,38.01,2.5351
0.0878,37.9811,2.8195
0.1063,37.9601,3.0009
0.087,38.6713,3.2115
0.0928,38.0553,3.9194
0.0992,38.0705,3.4924
0.0929,40.0943,3.1047
0.0962,39.0914,2.4602
0.0853,38.1859,2.7468
0.0857,38.0282,3.2892
0.0871,39.8277,3.0321
0.0935,38.7114,2.5297
0.0888,37.9248,2.838
0.0861,38.0382,2.8326
0.0914,38.0398,3.3809
0.0904,38.6946,2.5178
0.0886,37.826,2.7582
0.0854,38.2244,2.5826
0.0871,38.977,2.4541
0.0815,38.014,2.7957
0.1051,38.0155,2.9383
0.1118,38.0087,2.8239
0.0863,38.7564,2.4066
0.083,38.0429,2.8136
0.1058,38.044,2.7343
0.1363,42.1563,3.1346
0.096,38.8912,2.9429
0.0782,38.118,3.2268
0.0933,38.5875,3.1213
0.0895,38.0118,3.0513
0.1029,38.803,2.6319
0.0888,37.9811,3.0086
0.0896,38.0442,3.0776
0.0891,38.0219,3.4032
0.0899,38.9934,2.8927
0.0885,38.0,3.2419
0.0954,38.6904,3.0857
0.1076,39.1019,3.1815
0.0897,38.6258,3.1205
0.0853,37.9979,2.8474
0.0864,38.2189,2.8875
0.0872,37.8098,2.8984
0.087,38.6367,2.7599
0.0832,38.0261,2.9556
0.0873,38.0099,2.7193
0.0846,38.8916,2.3677
0.0831,38.0681,2.4433
0.0836,38.0783,3.3754
0.1026,41.1171,3.9051
0.0884,39.0357,2.549
0.0774,38.0003,2.6201
0.1138,37.8837,3.024
0.1065,38.0182,2.9186
0.0842,38.7569,2.3932
0.0878,37.8746,2.3505
0.0846,38.0417,2.77
0.0816,37.9815,2.5984
0.0826,38.8589,2.7578
0.0874,38.2486,2.9876
0.0858,38.0924,3.0029
0.0889,38.6063,2.9129
0.0837,38.9512,3.194
0.0881,39.1409,2.765
0.0934,38.9896,2.9763
0.0867,37.839,2.7451
0.0878,38.7072,2.6062
0.0816,38.0305,2.7054
0.0847,38.0204,2.7557
0.0873,39.0677,2.2064
0.0738,40.5251,2.9393
0.0899,38.1456,2.5397
0.0885,38.1076,2.5345
0.0809,39.1442,2.8572
0.0816,38.0659,2.4729
0.0852,38.3722,2.3034
0.0917,38.0631,2.3115
0.0859,38.7028,3.1737
0.0847,38.0221,2.6549
0.085,38.1503,2.4334
0.0828,38.1529,2.4461
0.0829,38.7395,2.5454
0.0854,38.0797,2.9208
0.0844,38.0786,2.4912
0.0824,37.9822,2.339
0.0857,40.0741,2.9949
0.0878,38.1339,2.7669
0.0839,37.8514,2.7754
0.0831,37.9873,2.7283
0.0825,38.566,2.8759
0.085,38.0151,2.7899
0.0969,40.5616,2.2825
0.0904,38.1749,2.4686
0.0876,38.4856,2.6485
0.0934,37.904,2.3944
0.0896,41.2911,2.8972
0.096,39.4922,2.4224
0.0926,37.8796,2.9098
0.0833,37.9445,2.8311
0.0958,37.8565,2.5751
0.0874,38.8881,2.8756
0.0865,38.2842,2.8615
0.0892,38.2616,2.8789
0.0816,38.4954,2.4983
0.0865,39.012,2.6886
0.0923,37.8722,2.4241
0.0863,37.9449,2.6402
0.0882,38.1117,2.7218
0.086,38.8191,2.464
0.0921,37.8141,2.9716
0.0897,37.8664,2.4788
0.0865,37.9672,2.8722
0.0928,41.147,3.4176
0.091,37.8372,2.9871
0.0852,37.8283,2.9605
0.09,37.9024,2.354
0.0832,38.9151,2.6325
0.0878,37.8745,3.1009
0.1057,38.1802,2.7319
0.085,37.8561,2.8529
0.0814,38.4903,2.7671
0.079,37.9789,2.6619
0.0861,37.8284,2.8696
0.0887,38.7796,2.6047
0.0823,37.9527,2.9561
0.0891,37.8596,2.9495
0.0845,37.8583,3.0454
0.086,38.5114,2.7169
0.0819,38.0681,2.7901
0.0826,37.8937,2.7384
0.0876,40.3736,2.5525
0.1202,40.4869,2.4654
0.0883,38.1896,2.5725
0.132,37.9388,2.3838
0.0944,37.9274,2.4359
0.1009,38.7427,2.3468
0.091,37.9236,2.3256
0.0816,37.8447,2.8391
0.0873,38.0639,2.9158
0.089,38.4722,2.917
0.0858,37.8831,2.1991
0.1132,38.185,2.7932
0.0896,38.4254,2.9126
0.0821,38.7214,2.1501
0.0824,37.8705,2.4267
0.0825,37.8355,2.5065
0.1166,38.8214,2.2653
0.0831,38.4001,2.7348
0.0891,38.4862,2.5558
0.1059,37.8534,2.5806
0.1492,40.4634,2.5459
0.1932,41.6523,2.777
0.1102,38.069,2.5244
0.0977,37.9717,2.3375
0.1145,38.9277,2.8015
0.0845,38.0049,2.5347
0.0892,37.9653,2.7494
0.1249,38.091,2.7401
0.103,38.7742,2.476
0.1605,38.0772,2.6707
0.0996,38.1483,2.7079
0.0795,38.5058,2.3502
0.1437,38.7125,2.5228
0.1122,38.4507,2.687
0.0953,38.1822,2.5891
0.1414,38.2086,2.4213
0.1052,38.5436,2.6083
0.0957,37.9447,2.805
0.0652,37.9622,2.3817
0.0774,41.2621,2.6946
0.1029,40.4304,2.591
0.1012,38.4553,2.2723
0.0744,39.0505,2.2768
0.0798,38.9363,2.2104
0.0719,38.9905,2.4111
0.138,39.1011,2.3904
0.0721,37.9619,1.4834
0.1335,39.636,2.1183
0.072,37.9659,2.9877
0.0721,37.8648,2.4813
0.0716,37.8501,2.861
0.0728,43.2981,3.0488
0.0762,37.837,2.5983
0.0739,37.922,2.6885
0.0698,38.3195,2.5495
0.071,38.8465,2.3599
0.071,37.8814,2.3634
0.0704,38.082,2.4555
0.0713,39.7262,2.4671
0.0717,39.0359,3.6488
0.073,37.9292,2.344
0.0706,37.8915,2.7598
0.0707,37.917,2.4966
0.0735,38.6191,2.4044
0.0994,37.9199,2.4212
0.0549,37.9421,2.2956
0.0726,38.2403,2.4824
0.0749,38.4878,2.6807
0.0709,39.6775,2.6862
0.0696,37.9171,2.5052
0.07,38.7019,2.5302
0.0989,42.5517,2.9663
0.0803,37.891,2.7225
0.0676,38.2434,2.6277
0.0709,38.6787,2.6445
0.0691,37.9495,2.2997
0.0727,37.8867,2.7218
0.0702,37.9767,2.6819
0.0761,38.9287,2.854
0.0687,47.474,2.9551
0.0721,37.8472,2.8699
0.0771,38.2691,3.0136
0.0757,38.6039,2.7202
0.0714,37.8505,2.7686
0.0698,37.8057,3.1097
0.0714,38.108,2.252
0.068,38.7617,2.365
0.0703,37.8289,2.4051
0.071,37.8531,2.7242
0.067,39.4298,2.9651
0.0752,39.0406,3.0191
0.0705,42.0348,2.9294
0.0713,37.8767,2.7694
0.0728,38.622,2.3786
0.0688,37.8634,2.4992
0.068,37.9302,2.9043
0.0703,38.2145,2.712
0.0674,38.8852,2.5728
0.0645,37.966,3.0431
0.0716,38.1707,2.8279
0.0744,37.8873,2.8397
0.0768,38.8123,2.779
0.065,37.8186,2.8747
0.0721,38.0611,2.3918
0.0701,38.1672,2.2625
0.0728,38.5805,2.8519
0.0678,38.1563,2.3752
0.068,38.0478,2.9621
0.0712,38.1761,2.8214
0.073,39.3438,2.7111
0.1055,41.9259,2.7324
0.0732,37.9806,2.5713
0.0692,37.9707,2.1789
0.0832,39.0183,2.3622
0.0696,38.1984,2.3719
0.0697,37.8996,2.5935
0.072,38.0923,2.8679
0.0929,38.4453,2.6885
0.073,37.8802,2.6394
0.0848,37.8846,2.6594
0.0715,39.0318,2.3485
0.0634,38.3605,2.7932
0.0699,37.7892,2.9019
0.0724,37.8271,2.9178
0.0725,40.0745,2.5096
0.0641,37.8314,3.1262
0.0718,37.8904,2.6919
0.0711,38.0239,2.6262
0.0697,38.655,3.0431
0.0721,43.2902,3.065
0.0807,38.0212,2.6295
0.0706,38.3482,2.6116
0.0692,38.8197,2.4976
0.0705,37.9193,2.6621
0.0742,38.1063,2.3601
0.0706,37.858,2.8023
0.0695,38.9812,2.6035
0.0673,38.0311,3.0539
0.0724,37.8718,2.6837
0.0782,37.8752,2.8818
0.0717,38.5885,2.6605
0.07,37.9319,2.7033
0.07,37.893,2.8052
0.0713,37.951,2.7699
0.0725,39.027,2.2621
0.0718,41.7174,2.3804
0.0709,38.0287,2.2692
0.084,38.778,1.9968
0.0701,41.7607,3.0676
0.0704,39.0072,2.8532
0.0661,38.0104,2.8719
0.0671,38.9079,2.4985
0.0625,38.1275,2.9445
0.0708,38.0343,2.4854
0.0654,39.6729,2.5879
0.0665,38.8778,2.3943
0.0687,38.1317,2.2149
0.0697,37.8553,2.9342
0.0701,38.1459,2.7944
0.0693,38.7366,2.968
0.0671,38.1297,3.0597
0.0718,38.0394,2.7658
0.0698,37.9707,2.8303
0.0649,38.6754,2.809
0.0837,41.5614,3.1564
0.0893,41.4267,3.2726
0.0742,38.076,2.4953
0.0644,38.7958,2.4801
0.0621,38.0114,2.3994
0.0707,37.8159,2.4588
0.0695,40.8657,2.1227
0.0583,38.2043,2.8578
0.0633,38.111,2.8824
0.065,38.2714,2.7005
0.0648,38.7677,2.7978
0.0637,38.0093,2.9867
0.0625,39.755,3.2474
0.0655,37.8637,2.7737
0.0761,38.7918,2.5626
0.0582,37.8807,2.7895
0.0644,37.8661,2.8533
0.0699,38.3803,2.8535
0.063,38.6025,2.8434
0.0648,37.9433,2.6246
0.0607,37.8943,3.6374
0.0699,39.61,3.0584
0.0722,39.3876,2.9666
0.063,37.81,2.8236
0.065,37.8418,2.6936
0.0622,38.0025,2.9245
0.0658,38.6169,3.0656
0.0694,37.8549,3.0232
0.0674,42.8313,3.202
0.0691,37.872,2.7431
0.0653,38.4536,2.7097
0.0675,37.9815,2.6123
0.0706,39.4994,2.558
0.0602,39.0873,2.5942
0.0596,37.848,2.3762
0.0612,37.9406,2.5794
0.0641,37.8942,2.3481
0.0646,38.6432,2.6546
0.0582,37.9219,2.8149
0.0667,37.9465,2.4717
0.0629,37.8621,2.6237
0.0625,38.7532,2.5825
0.0642,37.8525,2.7511
0.0626,38.0118,2.6804
0.0627,37.8643,2.729
0.0637,38.9327,2.5403
0.0653,37.8534,2.8752
0.0673,37.8787,2.7178
0.0646,37.8579,2.8693
0.0906,43.4667,2.7568
0.0629,37.8312,2.9211
0.0657,37.8376,2.8396
0.0626,38.045,2.7291
0.0642,38.8297,2.7886
0.0635,38.2526,2.7625
0.0737,37.8943,2.69
0.0643,37.8507,2.8977
0.0664,38.4615,2.5829
0.0629,37.8634,2.4561
0.0636,38.4855,2.6119
0.0627,39.1432,2.5574
0.0562,37.968,2.521
0.0655,38.041,2.5142
0.0621,37.8992,2.5763
0.0674,38.6648,2.429
0.0668,37.8714,2.7955
0.0651,37.8578,2.3298
0.0656,37.8521,2.7593
0.0618,38.6377,2.821
0.0597,38.1715,2.6427
0.0632,38.0033,2.9788
0.0656,38.0001,2.6731
0.065,41.7109,2.6433
0.0653,37.8149,2.8396
0.0675,37.9794,2.9337
0.0677,37.8405,2.8545
0.064,38.5911,2.8644
0.0659,37.873,2.9434
0.0641,37.8724,2.5912
0.061,37.8901,3.217
0.0681,38.3782,2.8245
0.0614,37.8644,3.0251
0.0678,39.4661,2.6773
0.0625,38.9312,2.1629
0.0549,37.8572,3.0535
0.0655,37.869,2.8753
0.0633,38.2585,2.5564
0.0611,38.8485,2.7425
0.0612,37.8115,2.8851
0.0663,37.9739,2.9127
0.0642,37.9333,2.7055
0.0645,38.9279,2.4551
0.0619,37.9707,2.9693
0.0631,40.8325,2.8346
0.086,38.6911,2.8649
0.0676,38.7651,2.9909
0.0651,37.8099,2.8894
0.0626,37.8377,3.0078
0.0647,37.8194,2.7485
0.0618,38.5655,2.7879
0.0641,38.1815,2.8562
0.0654,38.4,2.7583
0.0965,37.9113,2.7644
0.0633,38.5717,2.586
0.0664,37.7882,2.7565
0.0658,37.8892,2.6262
0.0655,37.9145,2.6467
0.0664,38.4951,2.288
0.0631,37.8483,2.5891
0.0635,37.8196,2.5431
0.0651,38.7191,2.3414
0.0603,37.9878,2.6923
